element1,element2,element3,element4,M,TC,R,heakey
Al,Si,Zr,Ir,0.0,0.0,128.13893000000002,13144077
Al,Si,Zr,Pt,0.0,0.0,122.25778,13144078
Al,Si,Zr,Au,0.0,0.0,114.80649,13144079
Al,Si,Zr,Hg,0.0,0.0,104.84232,13144080
Al,Si,Zr,Tl,0.0,0.0,94.89842,13144081
Al,Si,Zr,Pb,0.0,0.0,89.03484,13144082
Al,Si,Zr,Bi,0.0,0.0,88.05551,13144083
Al,Si,Nb,Mo,0.0,0.0,145.16362,13144142
Al,Si,Nb,Tc,0.0,0.0,141.52746000000002,13144143
Al,Si,Nb,Ru,0.0,0.0,135.21893,13144144
Al,Si,Nb,Rh,0.0,0.0,131.53982,13144145
Al,Si,Nb,Pd,0.0,0.0,132.79398999999998,13144146
Al,Si,Nb,Ag,0.0,0.0,129.24542,13144147
Al,Si,Nb,Cd,0.0,0.0,118.12177,13144148
Al,Si,Nb,In,0.0,0.0,101.19386,13144149
Al,Fe,Au,Hg,0.6741,618.484,48.564440000000005,13267980
Al,Fe,Au,Tl,0.7058,478.266,68.63633,13267981
Al,Fe,Au,Pb,0.7152,464.759,74.609,13267982
Al,Fe,Au,Bi,0.7272,417.249,83.42553000000001,13267983
Al,Fe,Hg,Tl,0.6947,442.676,51.76999,13268081
Al,Fe,Hg,Pb,0.7106,424.61800000000005,58.12742,13268082
Al,Fe,Hg,Bi,0.7347,359.50800000000004,69.30944000000001,13268083
Al,Fe,Tl,Pb,0.7332,422.421,56.45419,13268182
Al,Fe,Tl,Bi,0.7508,335.029,68.07925999999999,13268183
Al,Fe,Pb,Bi,0.7609,297.018,62.33578000000001,13268283
Al,Co,Ni,Cu,0.0,0.0,102.77638,13272829
Al,Co,Ni,Zn,0.4153,404.086,64.78238,13272830
Al,Co,Ni,Ge,0.4037,303.288,92.02761,13272832
Al,Co,Ni,Y,0.4166,340.718,146.14883,13272839
Al,Co,Ni,Zr,0.3626,304.427,137.77205,13272840
Al,Co,Ni,Mo,0.0,0.0,119.79864,13272842
Al,Co,Ni,Tc,0.4768,326.406,127.3531,13272843
Al,Co,Ni,Ru,0.603,395.834,114.74856,13272844
Al,Co,Ni,Rh,0.5962,447.745,82.15796,13272845
Al,Co,Ni,Pd,0.5094,484.41,58.01756999999999,13272846
Al,Co,Ni,Ag,0.4669,453.256,53.4093,13272847
Al,Co,Ni,Cd,0.0,0.0,113.91508,13272848
Al,Co,Ni,In,0.4193,327.024,77.44622,13272849
Al,Co,Ni,Hf,0.0,0.0,142.21381,13272872
Al,Co,Ni,Ta,0.367,304.672,139.24901,13272873
Al,Co,Ni,W,0.3782,283.545,139.18873,13272874
Al,Co,Ni,Re,0.4349,294.072,135.92793999999998,13272875
Al,Co,Ni,Os,0.5213,331.838,125.83325,13272876
Al,Co,Ni,Ir,0.5733,395.42,100.55156,13272877
Al,Co,Ni,Pt,0.5116,446.849,68.69063,13272878
Al,Co,Ni,Au,0.4751,442.573,55.46598,13272879
Al,Co,Ni,Hg,0.3986,340.016,56.70624,13272880
Al,Co,Ni,Tl,0.4499,333.50699999999995,83.7493,13272881
Al,Co,Ni,Pb,0.4459,304.71,93.74634,13272882
Cr,Ru,W,Tl,0.0,0.0,121.73265,24447481
Cr,Ru,W,Pb,0.6641,2.347,123.53131,24447482
Cr,Ru,W,Bi,0.7170000000000001,5.695,118.24695,24447483
Cr,Ru,Re,Os,0.0,0.0,15.25164,24447576
Cr,Ru,Re,Ir,0.0,0.0,23.08002,24447577
Cr,Ru,Re,Pt,0.0,0.0,40.35785,24447578
Cr,Ru,Re,Au,0.0,0.0,73.82767,24447579
Cr,Ru,Re,Hg,0.0,0.0,101.36988,24447580
Cr,Ru,Re,Tl,0.6048,8.158,123.14216,24447581
Cr,Ru,Re,Pb,0.0,0.0,97.68728,24447582
Cr,Ru,Re,Bi,0.6322,29.979,110.115,24447583
Cr,Ru,Os,Ir,0.0,0.0,18.18502,24447677
Cr,Ru,Os,Pt,0.0,0.0,33.68334,24447678
Cr,Ru,Os,Au,0.0,0.0,66.11681999999999,24447679
Cr,Ru,Os,Hg,0.5192,18.024,103.42939,24447680
Cr,Ru,Os,Tl,0.5364,48.91,113.62816,24447681
Cr,Ru,Os,Pb,0.5581,0.0,106.58548,24447682
Cr,Ru,Os,Bi,0.4791,135.575,104.61655,24447683
Cr,Ru,Ir,Pt,0.0,0.0,33.67023,24447778
Cr,Ru,Ir,Au,0.0,0.0,64.39504000000001,24447779
Cr,Ru,Ir,Hg,0.0,0.0,90.54736,24447780
Cr,Ru,Ir,Tl,0.5487,108.843,107.40436,24447781
Cr,Ru,Ir,Pb,0.5691,0.0,103.11572,24447782
Cr,Ru,Ir,Bi,0.6074,133.755,104.38908,24447783
Cr,Ru,Pt,Au,0.0,0.0,73.40512,24447879
Cr,Ru,Pt,Hg,0.6225,94.359,103.51446,24447880
Cr,Ru,Pt,Tl,0.6294,140.441,117.49454,24447881
Cr,Ru,Pt,Pb,0.6449,0.0,115.62428,24447882
Cr,Ru,Pt,Bi,0.6339,189.873,115.04452,24447883
Cr,Ru,Au,Hg,0.6778,96.121,126.83298,24447980
Cr,Ru,Au,Tl,0.6959,124.005,135.14959,24447981
Cr,Ru,Au,Pb,0.7040000000000001,0.0,131.17253,24447982
Cr,Ru,Au,Bi,0.6646,197.509,128.95733,24447983
Cr,Ru,Hg,Tl,0.7035,173.003,136.99626999999998,24448081
Cr,Ru,Hg,Pb,0.7443,129.227,133.25358,24448082
Cr,Ru,Hg,Bi,0.6938,208.903,132.12566,24448083
Cr,Ru,Tl,Pb,0.7245,168.637,124.18144,24448182
Cr,Ru,Tl,Bi,0.6805,241.888,123.00248,24448183
Cr,Ru,Pb,Bi,0.6822,230.141,117.06429,24448283
Cr,Rh,Pd,Ag,0.0,0.0,80.27605,24454647
Cr,Rh,Pd,Cd,0.0,0.0,105.8261,24454648
Cr,Rh,Pd,In,0.0,0.0,123.586,24454649
Cr,Rh,Pd,Sn,0.0,0.0,124.7606,24454650
Cr,Rh,Pd,Hf,0.0,0.0,94.00417,24454672
Cr,Rh,Pd,Ta,0.0,0.0,78.06415,24454673
Cr,Rh,Pd,W,0.0,0.0,67.02796,24454674
Cr,Rh,Pd,Re,0.0,0.0,56.61213000000001,24454675
Cr,Rh,Pd,Os,0.0,0.0,48.502390000000005,24454676
Cr,Rh,Pd,Ir,0.0,0.0,43.93686,24454677
Cr,Rh,Pd,Pt,0.0,0.0,47.90836,24454678
Cr,Rh,Pd,Au,0.7552,0.7290000000000001,57.88251,24454679
Cr,Rh,Pd,Hg,0.0,0.0,101.58863,24454680
Cr,Rh,Pd,Tl,0.9174,0.0,96.06901,24454681
Cr,Rh,Pd,Pb,0.9316,0.1969999999999999,104.84672,24454682
Cr,Rh,Pd,Bi,0.9535,0.4639999999999999,107.96694,24454683
Cr,Rh,Ag,Cd,0.8912,0.305,107.89144,24454748
Cr,Rh,Ag,In,0.0,0.0,153.16618,24454749
Cr,Rh,Ag,Sn,0.0,0.0,148.65913999999998,24454750
Cr,Rh,Ag,Hf,0.0,0.0,108.21173,24454772
Cr,Rh,Ag,Ta,0.0,0.0,95.37375,24454773
Cr,Rh,Ag,W,0.0,0.0,88.57625999999999,24454774
Cr,Rh,Ag,Re,0.0,0.0,82.16767,24454775
Cr,Rh,Ag,Os,0.0,0.0,75.93496,24454776
Cr,Rh,Ag,Ir,0.0,0.0,70.76524,24454777
Cr,Rh,Ag,Pt,0.7551,0.499,63.19093,24454778
Cr,Rh,Ag,Au,0.0,0.0,99.95389,24454779
Cr,Rh,Ag,Hg,0.9481,0.427,92.58903,24454780
Cr,Rh,Ag,Tl,0.9564,0.193,115.66497,24454781
Cr,Rh,Ag,Pb,0.9611,0.1119999999999999,122.46813,24454782
Cr,Rh,Ag,Bi,0.9869,0.106,125.22962,24454783
Cr,Rh,Cd,In,0.0,0.0,169.32981,24454849
Cr,Rh,Cd,Sn,0.0,0.0,153.41566,24454850
Cr,Rh,Cd,Hf,0.0,0.0,125.504,24454872
Cr,Rh,Cd,Ta,0.0,0.0,121.46905,24454873
Cr,Rh,Cd,W,0.0,0.0,122.44343,24454874
Cr,Rh,Cd,Re,0.0,0.0,114.26439,24454875
Cr,Rh,Cd,Os,0.602,4.2860000000000005,106.95775,24454876
Cr,Rh,Cd,Ir,0.0,0.0,96.47052,24454877
Cr,Rh,Cd,Pt,0.0,0.0,103.70908,24454878
Cr,Rh,Cd,Au,0.0,0.0,130.72782,24454879
Cr,Rh,Cd,Hg,0.9607,0.785,106.54312,24454880
Cr,Rh,Cd,Tl,0.9807,0.0,120.06719,24454881
Cr,Rh,Cd,Pb,0.9869,0.593,122.71516,24454882
Cr,Rh,Cd,Bi,1.0149,0.252,124.51163,24454883
Cr,Rh,In,Sn,0.9728,0.959,113.16405,24454950
Cr,Rh,In,Hf,0.821,4.7010000000000005,158.6442,24454972
Cr,Rh,In,Ta,0.0,0.0,142.49697,24454973
Cr,Rh,In,W,0.0,0.0,133.64938999999998,24454974
Cr,Rh,In,Re,0.6665,1.521,129.98575,24454975
Cr,Rh,In,Os,0.6769,7.082000000000001,117.52968,24454976
Cr,Rh,In,Ir,0.8123,0.541,92.88633,24454977
Cr,Rh,In,Pt,0.0,0.0,115.77812,24454978
Cr,Rh,In,Au,0.9241,0.419,109.09128,24454979
Cr,Rh,In,Hg,0.9727,0.562,114.12716,24454980
Cr,Rh,In,Tl,1.0052,0.773,117.51158999999998,24454981
Cr,Rh,In,Pb,0.9979,0.462,116.46117,24454982
Cr,Rh,In,Bi,1.0211,0.226,115.78367,24454983
Cr,Rh,Sn,Hf,0.8273,4.052,153.9518,24455072
Cr,Rh,Sn,Ta,0.0,0.0,135.01377,24455073
Cr,Rh,Sn,W,0.0,0.0,126.50832,24455074
Cr,Rh,Sn,Re,0.6829,1.73,124.10497,24455075
Cr,Rh,Sn,Os,0.698,6.468,111.34541000000002,24455076
Cr,Rh,Sn,Ir,0.843,1.025,92.31692,24455077
Cr,Rh,Sn,Pt,0.8893,0.546,97.88582,24455078
Cr,Rh,Sn,Au,0.923,0.574,113.6362,24455079
Cr,Rh,Sn,Hg,0.9771,0.782,115.63626,24455080
Cr,Rh,Sn,Tl,0.9986,0.0,114.24279,24455081
Cr,Rh,Sn,Pb,0.993,0.375,107.86299,24455082
Cr,Rh,Sn,Bi,1.0266,0.363,106.01025,24455083
Cr,Rh,Hf,Ta,0.0,0.0,81.11006,24457273
Cr,Rh,Hf,W,0.0,0.0,78.9662,24457274
Cr,Rh,Hf,Re,0.0,0.0,75.53974000000001,24457275
Cr,Rh,Hf,Os,0.0,0.0,75.34633000000001,24457276
Cr,Rh,Hf,Ir,0.0,0.0,80.09564,24457277
Cr,Rh,Hf,Pt,0.0,0.0,88.52011999999999,24457278
Cr,Rh,Hf,Au,0.0,0.0,102.98779,24457279
Cr,Rh,Hf,Hg,0.8255,4.856,135.33518,24457280
Cr,Rh,Hf,Tl,0.8637,4.833,153.56085,24457281
Cr,Rh,Hf,Pb,0.8757,4.038,151.52275,24457282
Cr,Rh,Hf,Bi,0.923,2.79,148.15097,24457283
Cr,Rh,Ta,W,0.0,0.0,63.66113000000001,24457374
Cr,Rh,Ta,Re,0.0,0.0,58.07744,24457375
Cr,Rh,Ta,Os,0.0,0.0,58.519940000000005,24457376
Cr,Rh,Ta,Ir,0.0,0.0,63.640730000000005,24457377
Cr,Rh,Ta,Pt,0.0,0.0,71.83425,24457378
Cr,Rh,Ta,Au,0.0,0.0,89.47139,24457379
Cr,Rh,Ta,Hg,0.7063,4.012,125.1003,24457380
Cr,Rh,Ta,Tl,0.774,4.15,142.22891,24457381
Cr,Rh,Ta,Pb,0.7915,3.71,138.74327,24457382
Cr,Rh,Ta,Bi,0.8467,3.0610000000000004,134.59143,24457383
Cr,Rh,W,Re,0.0,0.0,42.73502,24457475
Cr,Rh,W,Os,0.0,0.0,42.87663,24457476
Cr,Rh,W,Ir,0.0,0.0,48.23823,24457477
Cr,Rh,W,Pt,0.0,0.0,59.30661,24457478
Cr,Rh,W,Au,0.0,0.0,82.97979000000001,24457479
Cr,Rh,W,Hg,0.6639,2.126,117.92128999999998,24457480
Cr,Rh,W,Tl,0.7353,2.191,133.61196,24457481
Cr,Rh,W,Pb,0.7529,1.961,128.93495,24457482
Cr,Rh,W,Bi,0.8064,1.854,124.7342,24457483
Cr,Rh,Re,Os,0.0,0.0,28.45267,24457576
Cr,Rh,Re,Ir,0.0,0.0,34.02231,24457577
Cr,Rh,Re,Pt,0.0,0.0,46.77918,24457578
Cr,Rh,Re,Au,0.0,0.0,76.61137,24457579
Cr,Rh,Re,Hg,0.6436,1.466,111.68708,24457580
Cr,Rh,Re,Tl,0.7132,3.318,124.0289,24457581
Cr,Rh,Re,Pb,0.7294,3.5380000000000003,118.84167,24457582
Cr,Rh,Re,Bi,0.7732,5.567,118.17229,24457583
Cr,Rh,Os,Ir,0.0,0.0,25.85187,24457677
Cr,Rh,Os,Pt,0.0,0.0,38.6114,24457678
Cr,Rh,Os,Au,0.0,0.0,69.16336,24457679
Cr,Rh,Os,Hg,0.6459999999999999,8.787,99.78134,24457680
Cr,Rh,Os,Tl,0.6948,15.935,110.50936000000002,24457681
Cr,Rh,Os,Pb,0.7266,14.063,107.66544,24457682
Cr,Rh,Os,Bi,0.7053,37.344,102.56472,24457683
Cr,Rh,Ir,Pt,0.0,0.0,34.22549,24457778
Cr,Rh,Ir,Au,0.0,0.0,61.753330000000005,24457779
Cr,Rh,Ir,Hg,0.7534,1.798,78.64515,24457780
Cr,Rh,Ir,Tl,0.8394,0.6409999999999999,87.82191999999999,24457781
Cr,Rh,Ir,Pb,0.8699,0.213,89.46384,24457782
Cr,Rh,Ir,Bi,0.9049,0.208,89.24937,24457783
Cr,Rh,Pt,Au,0.7433,0.2339999999999999,50.54428,24457879
Cr,Rh,Pt,Hg,0.875,0.1889999999999999,66.50272,24457880
Cr,Rh,Pt,Tl,0.9083,0.15,87.43541,24457881
Cr,Rh,Pt,Pb,0.9207,0.187,95.71495,24457882
Cr,Rh,Pt,Bi,0.9463,0.155,97.56904,24457883
Cr,Rh,Au,Hg,0.9095,0.228,91.08357,24457980
Cr,Rh,Au,Tl,0.9513,0.228,106.38839,24457981
Cr,Rh,Au,Pb,0.9558,0.221,113.81708,24457982
Cr,Rh,Au,Bi,0.982,0.11,115.44183999999998,24457983
Cr,Rh,Hg,Tl,0.9922,0.204,117.12169,24458081
Cr,Rh,Hg,Pb,1.0071,0.337,119.02535,24458082
Cr,Rh,Hg,Bi,1.0102,0.664,121.14276,24458083
Cr,Rh,Tl,Pb,1.0213,0.0,118.35916,24458182
Cr,Rh,Tl,Bi,1.0302,0.125,117.74703,24458183
Cr,Rh,Pb,Bi,1.0411,0.1369999999999999,109.95382,24458283
Cr,Pd,Ag,Cd,0.0,0.0,148.75613,24464748
Cr,Pd,Ag,In,0.9873,0.521,88.01811,24464749
Cr,Pd,Ag,Sn,0.9755,0.51,107.70111,24464750
Cr,Pd,Ag,Hf,0.7864,4.2410000000000005,135.41128999999998,24464772
Cr,Pd,Ag,Ta,0.0,0.0,103.34425,24464773
Cr,Pd,Ag,W,0.0,0.0,99.6593,24464774
Cr,Pd,Ag,Re,0.0,0.0,95.44207,24464775
Cr,Pd,Ag,Os,0.0,0.0,89.83839,24464776
Cr,Pd,Ag,Ir,0.0,0.0,83.77968,24464777
Cr,Pd,Ag,Pt,0.8801,0.386,59.21554,24464778
Cr,Pd,Ag,Au,0.0,0.0,109.53202,24464779
Cr,Pd,Ag,Hg,1.0167,0.674,59.22255,24464780
Cr,Pd,Ag,Tl,1.0214,0.482,87.41456,24464781
Cr,Pd,Ag,Pb,1.0156,0.505,105.64793,24464782
Cr,Pd,Ag,Bi,1.0455,0.251,122.61643,24464783
Cr,Pd,Cd,In,0.0,0.0,181.40774,24464849
Cr,Pd,Cd,Sn,0.9799,0.501,101.12849,24464850
Cr,Pd,Cd,Hf,0.0,0.0,130.8277,24464872
Cr,Pd,Cd,Ta,0.0,0.0,126.98197,24464873
Cr,Pd,Cd,W,0.0,0.0,136.32788,24464874
Cr,Pd,Cd,Re,0.0,0.0,133.46756000000002,24464875
Cr,Pd,Cd,Os,0.0,0.0,124.40363,24464876
Cr,Pd,Cd,Ir,0.0,0.0,114.36477,24464877
Cr,Pd,Cd,Pt,0.0,0.0,119.972,24464878
Cr,Pd,Cd,Au,0.0,0.0,145.16207,24464879
Cr,Pd,Cd,Hg,1.0064,0.8059999999999999,67.54486,24464880
Cr,Pd,Cd,Tl,1.0224,0.0,90.76543,24464881
Cr,Pd,Cd,Pb,1.0222,0.373,102.19105,24464882
Cr,Pd,Cd,Bi,1.0492,0.244,115.647,24464883
Cr,Pd,In,Sn,0.9934,0.439,92.97674,24464950
Cr,Pd,In,Hf,0.8415,4.2410000000000005,166.00555,24464972
Cr,Pd,In,Ta,0.7457,3.019,160.62319,24464973
Cr,Pd,In,W,0.7061,0.794,157.5816,24464974
Cr,Pd,In,Re,0.0,0.0,147.26152,24464975
Cr,Pd,In,Os,0.0,0.0,136.92436,24464976
Cr,Pd,In,Ir,0.8572,0.505,112.22964,24464977
Cr,Pd,In,Pt,0.9472,0.487,88.88221,24464978
Cr,Pd,In,Au,0.9778,0.42,83.17944,24464979
Cr,Pd,In,Hg,1.0116,0.476,82.36018,24464980
Cr,Pd,In,Tl,1.0332,0.523,91.99217,24464981
Cr,Pd,In,Pb,1.0265,0.504,97.20321,24464982
Cr,Pd,In,Bi,1.0518,0.236,106.61977,24464983
Cr,Pd,Sn,Hf,0.8426,3.298,163.338,24465072
Cr,Pd,Sn,Ta,0.7493,2.404,156.81478,24465073
Cr,Pd,Sn,W,0.7098,0.889,152.75814,24465074
Cr,Pd,Sn,Re,0.7029,2.527,146.08357,24465075
Cr,Pd,Sn,Os,0.7317,10.129,133.75965,24465076
Cr,Pd,Sn,Ir,0.8707,0.223,112.24041,24465077
Cr,Pd,Sn,Pt,0.9359,0.395,102.59285,24465078
Cr,Pd,Sn,Au,0.966,0.3779999999999999,101.46171,24465079
Cr,Pd,Sn,Hg,1.0057,0.474,96.21334,24465080
Cr,Pd,Sn,Tl,1.0247,0.44,96.90604,24465081
Cr,Pd,Sn,Pb,1.0258,0.42,94.00165,24465082
Cr,Pd,Sn,Bi,1.0518,0.243,101.39325,24465083
Cr,Pd,Hf,Ta,0.0,0.0,88.42151,24467273
Cr,Pd,Hf,W,0.0,0.0,88.05641999999999,24467274
Cr,Pd,Hf,Re,0.0001,0.0,89.1635,24467275
Cr,Pd,Hf,Os,0.0,0.0,90.30516,24467276
Cr,Pd,Hf,Ir,0.0,0.0,93.24704,24467277
Cr,Pd,Hf,Pt,0.0,0.0,99.77888,24467278
Cr,Pd,Hf,Au,0.0,0.0,111.81957,24467279
Cr,Pd,Hf,Hg,0.8489,4.834,144.2576,24467280
Cr,Pd,Hf,Tl,0.8786,4.467,161.62702,24467281
Cr,Pd,Hf,Pb,0.8864,3.509,160.92412,24467282
Cr,Pd,Hf,Bi,0.9328,2.573,161.14703,24467283
Cr,Pd,Ta,W,0.0,0.0,75.56028,24467374
Cr,Pd,Ta,Re,0.0,0.0,74.27724,24467375
Cr,Pd,Ta,Os,0.0,0.0,74.90606,24467376
Cr,Pd,Ta,Ir,0.0003,0.0,77.49963000000001,24467377
Cr,Pd,Ta,Pt,0.0,0.0,83.96015,24467378
Cr,Pd,Ta,Au,0.0,0.0,99.88395,24467379
Cr,Pd,Ta,Hg,0.7444,0.0,138.60857,24467380
Cr,Pd,Ta,Tl,0.792,3.052,156.99142,24467381
Cr,Pd,Ta,Pb,0.8039,2.68,154.13492,24467382
Cr,Pd,Ta,Bi,0.8537,2.412,150.20506,24467383
Cr,Pd,W,Re,0.0,0.0,64.13193000000001,24467475
Cr,Pd,W,Os,0.0,0.0,63.09848,24467476
Cr,Pd,W,Ir,0.0,0.0,65.95746,24467477
Cr,Pd,W,Pt,0.0,0.0,75.35207,24467478
Cr,Pd,W,Au,0.0,0.0,97.82416,24467479
Cr,Pd,W,Hg,0.0,0.0,135.55958,24467480
Cr,Pd,W,Tl,0.7518,1.135,153.36478,24467481
Cr,Pd,W,Pb,0.7656,1.276,147.71777,24467482
Cr,Pd,W,Bi,0.8141,1.783,142.23459,24467483
Cr,Pd,Re,Os,0.0,0.0,52.19143,24467576
Cr,Pd,Re,Ir,0.0,0.0,54.65583,24467577
Cr,Pd,Re,Pt,0.0,0.0,66.02466,24467578
Cr,Pd,Re,Au,0.0,0.0,95.31608,24467579
Cr,Pd,Re,Hg,0.6865,3.056,131.51612,24467580
Cr,Pd,Re,Tl,0.7346,5.401,145.93074,24467581
Cr,Pd,Re,Pb,0.7477,5.281000000000001,139.32766,24467582
Cr,Pd,Re,Bi,0.78,9.577,131.93366,24467583
Cr,Pd,Os,Ir,0.0,0.0,47.4104,24467677
Cr,Pd,Os,Pt,0.0,0.0,57.71645,24467678
Cr,Pd,Os,Au,0.0,0.0,87.35725,24467679
Cr,Pd,Os,Hg,0.7036,16.291,119.26014,24467680
Cr,Pd,Os,Tl,0.7425,25.215,132.10775,24467681
Cr,Pd,Os,Pb,0.7578,23.386,127.6862,24467682
Cr,Pd,Os,Bi,0.7591,46.188,122.81848,24467683
Cr,Pd,Ir,Pt,0.0,0.0,50.03304,24467778
Cr,Pd,Ir,Au,0.0,0.0,77.11459,24467779
Cr,Pd,Ir,Hg,0.8549,1.14,89.14929000000001,24467780
Cr,Pd,Ir,Tl,0.8894,1.09,105.95345,24467781
Cr,Pd,Ir,Pb,0.9096,0.213,109.04984,24467782
Cr,Pd,Ir,Bi,0.9378,0.6509999999999999,109.55963,24467783
Cr,Pd,Pt,Au,0.8505,0.304,47.14982,24467879
Cr,Pd,Pt,Hg,0.9691,0.555,59.94221,24467880
